mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__activation,param_mlp__alpha,param_mlp__hidden_layer_sizes,param_mlp__learning_rate_init,param_mlp__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.2024768829345703,0.030465093051031563,0.004352378845214844,0.005364979306421852,relu,0.0001,"(100, 50)",0.001,adam,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam'}",1.0,0.9666666666666667,0.8666666666666667,1.0,0.9,0.9466666666666667,0.05416025603090639,101,0.9833333333333333,0.9833333333333333,1.0,0.9833333333333333,0.9916666666666667,0.9883333333333333,0.006666666666666693
0.6599761009216308,0.1087331493260171,0.001680612564086914,0.0001320550556584503,relu,0.0001,"(100, 50)",0.001,sgd,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'sgd'}",1.0,0.9666666666666667,0.9,1.0,0.9,0.9533333333333334,0.04521553322083511,50,0.9666666666666667,0.9666666666666667,0.9833333333333333,0.9583333333333334,0.9666666666666667,0.9683333333333334,0.008164965809277232
0.1008570671081543,0.044753425650246724,0.0018207550048828125,0.0002619833956811988,relu,0.0001,"(100, 50)",0.01,adam,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate_init': 0.01, 'mlp__solver': 'adam'}",1.0,0.9666666666666667,0.8666666666666667,1.0,0.8666666666666667,0.9400000000000001,0.06110100926607785,120,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.201155424118042,0.04173138331648036,0.0019121646881103515,0.00038859418170633707,relu,0.0001,"(100, 50)",0.01,sgd,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate_init': 0.01, 'mlp__solver': 'sgd'}",1.0,0.9666666666666667,0.9,1.0,0.9,0.9533333333333334,0.04521553322083511,50,0.9833333333333333,0.975,1.0,0.975,0.9833333333333333,0.9833333333333332,0.009128709291752777
0.22073473930358886,0.034186092872616425,0.0020951271057128907,0.00044499910574064076,relu,0.001,"(50,)",0.001,adam,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam'}",1.0,0.9666666666666667,0.9,1.0,0.9,0.9533333333333334,0.04521553322083511,50,0.975,0.975,1.0,0.975,0.9833333333333333,0.9816666666666667,0.009718253158075509
0.2845284938812256,0.029557798663925855,0.0017255306243896484,0.0003103956675126073,relu,0.001,"(50,)",0.001,sgd,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'sgd'}",0.9333333333333333,0.9666666666666667,0.8666666666666667,1.0,0.8666666666666667,0.9266666666666665,0.05333333333333333,127,0.925,0.925,0.9333333333333333,0.9166666666666666,0.9416666666666667,0.9283333333333333,0.008498365855987974
0.06807827949523926,0.01839110400398904,0.002234745025634766,0.000517934177713139,relu,0.001,"(50,)",0.01,adam,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate_init': 0.01, 'mlp__solver': 'adam'}",1.0,0.9666666666666667,0.9,1.0,0.9,0.9533333333333334,0.04521553322083511,50,0.9833333333333333,0.9833333333333333,1.0,0.9833333333333333,1.0,0.99,0.008164965809277286
0.14519715309143066,0.016702273921084712,0.0022265434265136717,0.0005641668041169215,relu,0.001,"(50,)",0.01,sgd,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate_init': 0.01, 'mlp__solver': 'sgd'}",1.0,0.9666666666666667,0.9,1.0,0.9,0.9533333333333334,0.04521553322083511,50,0.9666666666666667,0.9666666666666667,0.9916666666666667,0.975,0.975,0.975,0.009128709291752777
0.23762335777282714,0.00989474946137122,0.0022175788879394533,0.0005200709102592298,relu,0.001,"(100,)",0.001,adam,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam'}",1.0,0.9666666666666667,0.8666666666666667,1.0,0.9,0.9466666666666667,0.05416025603090639,101,0.975,0.975,1.0,0.975,0.9833333333333333,0.9816666666666667,0.009718253158075509
0.34136238098144533,0.02423777752903775,0.0017009735107421874,0.0001966414580126045,relu,0.001,"(100,)",0.001,sgd,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'sgd'}",0.9666666666666667,0.9666666666666667,0.8666666666666667,1.0,0.8666666666666667,0.9333333333333332,0.055777335102271695,124,0.9333333333333333,0.9333333333333333,0.9416666666666667,0.9333333333333333,0.95,0.9383333333333335,0.006666666666666643
